Band,CV,Lambda,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high
10,4.0,5.0,0.117302,0.042306,0.002594,0.114707,0.119896,0.525307,0.035145,0.002155,0.523152,0.527462,3.311578,0.249816,0.015319,3.296259,3.326897
10,4.0,6.5,0.276792,0.065619,0.004024,0.272768,0.280816,0.639629,0.042637,0.002615,0.637015,0.642244,3.494614,0.206572,0.012667,3.481946,3.507281
10,4.0,8.0,0.433500,0.089221,0.005471,0.428029,0.438971,0.737209,0.047868,0.002935,0.734274,0.740144,3.539874,0.218640,0.013407,3.526466,3.553281
10,4.0,9.5,0.574481,0.101156,0.006203,0.568278,0.580684,0.814943,0.046986,0.002881,0.812062,0.817824,3.656165,0.260030,0.015945,3.640220,3.672111
10,4.0,11.0,0.682094,0.102566,0.006290,0.675804,0.688383,0.870256,0.042227,0.002589,0.867667,0.872846,3.846489,0.296008,0.018152,3.828337,3.864640
10,4.0,12.5,0.752317,0.106064,0.006504,0.745813,0.758821,0.905436,0.038449,0.002358,0.903078,0.907794,4.065401,0.297294,0.018230,4.047171,4.083631
10,4.0,14.0,0.780111,0.118811,0.007286,0.772825,0.787397,0.923298,0.035499,0.002177,0.921121,0.925475,4.256493,0.332092,0.020364,4.236128,4.276857
10,8.0,2.0,0.000034,0.000425,0.000026,0.000008,0.000060,0.247722,0.033875,0.002077,0.245645,0.249799,1.186699,0.261831,0.016056,1.170644,1.202755
10,8.0,3.5,0.043324,0.026447,0.001622,0.041703,0.044946,0.366997,0.045030,0.002761,0.364235,0.369758,2.778650,0.314702,0.019298,2.759352,2.797948
10,8.0,5.0,0.199468,0.064064,0.003928,0.195539,0.203396,0.508927,0.061581,0.003776,0.505151,0.512704,3.104406,0.228839,0.014033,3.090373,3.118439
10,8.0,6.5,0.353063,0.093560,0.005737,0.347326,0.358801,0.622137,0.070555,0.004327,0.617811,0.626464,3.106709,0.249717,0.015313,3.091396,3.122022
10,8.0,8.0,0.486485,0.105958,0.006497,0.479987,0.492982,0.704737,0.071747,0.004400,0.700337,0.709136,3.200604,0.301174,0.018468,3.182136,3.219073
10,8.0,9.5,0.590968,0.115438,0.007079,0.583889,0.598046,0.764228,0.070631,0.004331,0.759896,0.768559,3.403053,0.349356,0.021423,3.381630,3.424476
10,8.0,11.0,0.664948,0.116592,0.007150,0.657798,0.672097,0.804585,0.067882,0.004163,0.800422,0.808747,3.662476,0.391242,0.023992,3.638484,3.686467
10,8.0,12.5,0.704926,0.120358,0.007381,0.697545,0.712307,0.830911,0.062977,0.003862,0.827049,0.834773,3.913442,0.406281,0.024914,3.888528,3.938356
